Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,stairCase
1,0,-0.95,j,0,1,high
2,0,-0.05,j,0,1,low
3,0,-0.90,j,0,1,high
4,0,-0.01,j,0,1,low
5,180,0.01,f,1,1,low
6,180,0.85,f,1,1,high
7,0,-0.01,f,1,0,low
8,0,-0.80,j,0,1,high
9,0,-0.06,j,0,1,low
10,0,-0.75,f,1,0,high
11,0,-0.80,j,0,1,high
12,180,0.02,j,0,0,low
13,180,0.06,f,1,1,low
14,0,-0.76,j,0,1,high
15,180,0.72,f,1,1,high
16,0,-0.03,j,0,1,low
17,0,-0.68,j,0,1,high
18,0,-0.01,f,1,0,low
19,0,-0.04,f,1,0,low
20,0,-0.64,f,1,0,high
21,180,0.68,j,0,0,high
22,0,-0.07,f,1,0,low
23,0,-0.72,f,1,0,high
