Trial,Direction,Coherence,Response,ResponseCode,ResponseCorrect,ReactionTime,Condition,VP,Threshold
1,0,-0.09,j,0,1,0,1.00,101,0.15
2,0,-0.09,f,1,0,0,1.00,101,0.15
3,0,-0.09,j,0,1,0,1.00,101,0.15
4,0,-0.09,j,0,1,0,1.00,101,0.15
5,180,0.09,j,0,0,0,1.00,101,0.15
6,180,0.09,j,0,0,0,1.00,101,0.15
7,0,-0.09,j,0,1,0,1.00,101,0.15
8,0,-0.09,f,1,0,0,1.00,101,0.15
9,180,0.09,j,0,0,0,1.00,101,0.15
10,0,-0.09,j,0,1,0,1.00,101,0.15
11,180,0.09,f,1,1,0,1.00,101,0.15
12,0,-0.09,f,1,0,0,1.00,101,0.15
13,180,0.09,j,0,0,0,1.00,101,0.15
14,180,0.09,f,1,1,0,1.00,101,0.15
15,180,0.09,j,0,0,0,1.00,101,0.15
16,0,-0.09,f,1,0,0,1.00,101,0.15
17,180,0.09,j,0,0,0,1.00,101,0.15
18,180,0.09,f,1,1,0,1.00,101,0.15
19,0,-0.09,j,0,1,0,1.00,101,0.15
20,180,0.09,f,1,1,0,1.00,101,0.15
21,0,-0.09,j,0,1,0,1.00,101,0.15
22,180,0.09,f,1,1,0,1.00,101,0.15
23,180,0.09,j,0,0,0,1.00,101,0.15
24,180,0.09,f,1,1,0,1.00,101,0.15
25,0,-0.09,j,0,1,0,1.00,101,0.15
26,180,0.09,f,1,1,0,1.00,101,0.15
27,0,-0.09,j,0,1,0,1.00,101,0.15
28,180,0.09,f,1,1,0,1.00,101,0.15
29,180,0.09,e,1,0,0,1.00,101,0.15
